 x(m), density, u, p, T
  -1.65217388     ,   4.38821983     ,   2.04793310     ,   4.96435595     ,   399.183441    
  -1.63879597     ,   4.37901783     ,   2.88856888     ,   4.94978762     ,   398.848389    
  -1.62541807     ,   4.36759663     ,   3.93362784     ,   4.93172741     ,   398.432281    
  -1.61204016     ,   4.35392094     ,   5.18802309     ,   4.91012383     ,   397.932953    
  -1.59866226     ,   4.33804750     ,   6.64771509     ,   4.88508749     ,   397.352600    
  -1.58528423     ,   4.32013035     ,   8.30090523     ,   4.85686398     ,   396.695343    
  -1.57190633     ,   4.30037069     ,   10.1302948     ,   4.82579613     ,   395.968903    
  -1.55852842     ,   4.27901363     ,   12.1152229     ,   4.79228020     ,   395.181458    
  -1.54515052     ,   4.25631094     ,   14.2338762     ,   4.75672674     ,   394.341827    
  -1.53177261     ,   4.23250675     ,   16.4650478     ,   4.71952963     ,   393.458588    
  -1.51839471     ,   4.20782566     ,   18.7892780     ,   4.68104601     ,   392.539307    
  -1.50501668     ,   4.18245888     ,   21.1894436     ,   4.64158773     ,   391.591156    
  -1.49163878     ,   4.15656805     ,   23.6511192     ,   4.60141516     ,   390.620026    
  -1.47826087     ,   4.13028908     ,   26.1624260     ,   4.56074047     ,   389.630463    
  -1.46488297     ,   4.10372782     ,   28.7137489     ,   4.51973343     ,   388.626373    
  -1.45150506     ,   4.07696867     ,   31.2974491     ,   4.47852898     ,   387.610901    
  -1.43812704     ,   4.05007935     ,   33.9075356     ,   4.43723059     ,   386.586304    
  -1.42474914     ,   4.02311087     ,   36.5393181     ,   4.39592075     ,   385.554535    
  -1.41137123     ,   3.99610376     ,   39.1891098     ,   4.35466146     ,   384.517059    
  -1.39799333     ,   3.96908689     ,   41.8540688     ,   4.31350088     ,   383.475189    
  -1.38461542     ,   3.94208813     ,   44.5318413     ,   4.27247858     ,   382.429657    
  -1.37123752     ,   3.91512656     ,   47.2206421     ,   4.23162413     ,   381.381195    
  -1.35785949     ,   3.88821745     ,   49.9189987     ,   4.19096231     ,   380.330536    
  -1.34448159     ,   3.86137295     ,   52.6256828     ,   4.15051126     ,   379.278137    
  -1.33110368     ,   3.83460450     ,   55.3397255     ,   4.11028719     ,   378.224457    
  -1.31772578     ,   3.80792260     ,   58.0603027     ,   4.07030201     ,   377.169464    
  -1.30434787     ,   3.78133225     ,   60.7867088     ,   4.03056574     ,   376.113708    
  -1.29096985     ,   3.75483942     ,   63.5183945     ,   3.99108672     ,   375.057465    
  -1.27759194     ,   3.72845030     ,   66.2548523     ,   3.95187211     ,   374.000793    
  -1.26421404     ,   3.70216775     ,   68.9956207     ,   3.91292667     ,   372.943970    
  -1.25083613     ,   3.67599630     ,   71.7402954     ,   3.87425542     ,   371.887146    
  -1.23745823     ,   3.64993834     ,   74.4886246     ,   3.83586216     ,   370.830505    
  -1.22408032     ,   3.62399721     ,   77.2402649     ,   3.79774976     ,   369.774109    
  -1.21070230     ,   3.59817529     ,   79.9949875     ,   3.75992012     ,   368.717987    
